date,ticker,price,base_target,final_target,rating,relative_rating,street_target
2026-07-03,AAPL,308.63,196.27,225.71,SELL,Least Preferred,315.09048
2026-07-03,MSFT,390.49,419.43,419.43,HOLD,Overweight,561.1149
2026-07-03,KO,84.14,71.75,71.75,SELL,Neutral,85.97417
2026-07-03,FITB,57.16,43.83,43.83,SELL,Underweight,58.375
2026-07-03,BRK-B,507.78,620.11,620.11,BUY,Top Pick,520.3333
2026-07-14,AAPL,314.96,198.68,228.49,SELL,Least Preferred,316.75714
2026-07-14,MSFT,386.84,418.45,418.45,HOLD,Overweight,559.86035
2026-07-14,KO,83.24,69.78,69.78,SELL,Neutral,86.84917
2026-07-14,FITB,57.09,43.76,43.76,SELL,Underweight,60.8
2026-07-14,BRK-B,494.06,602.08,602.08,BUY,Top Pick,520.3333
2026-07-14,GSL,41.24,53.78,53.78,BUY,Top Pick,48.0
2026-07-14,SBLK,26.56,36.75,36.75,BUY,Top Pick,30.98
2026-07-15,AAPL,325.13,196.86,226.39,SELL,Least Preferred,316.75714
2026-07-15,MSFT,396.93,423.6,423.6,HOLD,Neutral,559.86035
2026-07-15,KO,83.06,69.41,69.41,SELL,Neutral,86.84917
2026-07-15,FITB,58.11,43.93,43.93,SELL,Underweight,60.8
2026-07-15,GSL,40.73,53.44,53.44,BUY,Overweight,48.0
2026-07-15,SBLK,26.17,36.7,36.7,BUY,Top Pick,30.98
2026-07-15,BRK-B,490.835,592.49,592.49,BUY,Overweight,520.3333
